Language	Family	Prediction	Frequency
hakk1236	Sino-Tibetan	Sino-Tibetan	6
hakk1236	Sino-Tibetan	Austronesian	8
hakk1236	Sino-Tibetan	Austroasiatic	54
hakk1236	Sino-Tibetan	Hmong-Mien	31
hakk1236	Sino-Tibetan	Unclassified	1
mand1415	Sino-Tibetan	Hmong-Mien	98
mand1415	Sino-Tibetan	Tai-Kadai	2
wuch1236	Sino-Tibetan	Hmong-Mien	100
wutu1241	Sino-Tibetan	Sino-Tibetan	100
yuec1235	Sino-Tibetan	Unclassified	7
yuec1235	Sino-Tibetan	Austronesian	73
yuec1235	Sino-Tibetan	Austroasiatic	13
yuec1235	Sino-Tibetan	Hmong-Mien	6
yuec1235	Sino-Tibetan	Indo-European	1
cahu1264	Uto-Aztecan	Cariban	5
cahu1264	Uto-Aztecan	Uto-Aztecan	43
cahu1264	Uto-Aztecan	Unclassified	17
cahu1264	Uto-Aztecan	Tupian	20
cahu1264	Uto-Aztecan	Chibchan	5
cahu1264	Uto-Aztecan	Pano-Tacanan	1
cahu1264	Uto-Aztecan	Nuclear-Macro-Je	5
cahu1264	Uto-Aztecan	Athabaskan-Eyak-Tlingit	3
cahu1264	Uto-Aztecan	Chocoan	1
coma1245	Uto-Aztecan	Unclassified	94
coma1245	Uto-Aztecan	Sino-Tibetan	2
coma1245	Uto-Aztecan	Austroasiatic	2
coma1245	Uto-Aztecan	Uto-Aztecan	2
cupe1243	Uto-Aztecan	Nuclear-Macro-Je	83
cupe1243	Uto-Aztecan	Tupian	4
cupe1243	Uto-Aztecan	Unclassified	11
cupe1243	Uto-Aztecan	Cariban	1
cupe1243	Uto-Aztecan	Arawakan	1
kawa1283	Uto-Aztecan	Arawakan	33
kawa1283	Uto-Aztecan	Tucanoan	14
kawa1283	Uto-Aztecan	Cariban	39
kawa1283	Uto-Aztecan	Pama-Nyungan	2
kawa1283	Uto-Aztecan	Afro-Asiatic	1
kawa1283	Uto-Aztecan	Atlantic-Congo	8
kawa1283	Uto-Aztecan	Austronesian	1
